epoch,acc,loss
0,0.136,2.2939068908691405
1,0.256,2.1342009658813477
2,0.292,2.051637865066528
3,0.358,1.9215413913726807
4,0.422,1.7055462579727172
5,0.49,1.6117371616363525
6,0.53,1.4310900592803955
7,0.548,1.257673650741577
8,0.612,1.1216217036247254
9,0.592,1.1207906999588013
10,0.608,1.1826338090896606
11,0.588,1.1052615451812744
12,0.67,0.8976829690933228
13,0.682,0.8287232904434204
14,0.716,0.8673678426742554
15,0.656,0.9761029586791993
16,0.72,0.8344065523147584
17,0.708,0.8451153864860534
18,0.724,0.7873768229484558
19,0.772,0.6340491819381714
20,0.79,0.5659009575843811
21,0.794,0.5824938297271729
22,0.816,0.5310995807647705
23,0.83,0.49472632455825805
24,0.82,0.6575370550155639
25,0.542,1.490322385787964
26,0.516,1.5133386402130127
27,0.464,1.5261584582328795
28,0.58,1.1927173929214478
29,0.67,0.9565743103027343
30,0.706,0.7937238006591797
31,0.736,0.7837977061271667
32,0.766,0.6497304940223694
33,0.836,0.5525327715873718
34,0.84,0.5314380311965943
35,0.85,0.46525382256507875
36,0.808,0.6009299030303955
37,0.822,0.5433854451179504
38,0.842,0.46762167739868166
39,0.842,0.43695203971862795
40,0.88,0.3708793616294861
41,0.882,0.3688724293708801
42,0.89,0.33533719038963317
43,0.892,0.3125861192941666
44,0.894,0.31431170177459716
45,0.87,0.43965170049667357
46,0.874,0.4028180742263794
47,0.866,0.40221299123764037
48,0.892,0.32844128212332724
49,0.888,0.3747259694337845
50,0.892,0.36723710370063783
51,0.908,0.24865493750572204
52,0.916,0.25229301810264587
53,0.914,0.2229024351835251
54,0.922,0.20827537101507188
55,0.922,0.28030169582366943
56,0.936,0.21409059500694275
57,0.94,0.19180813217163087
58,0.942,0.18257656502723693
59,0.928,0.19521615862846375
60,0.934,0.18911374306678772
61,0.946,0.16403648138046265
62,0.93,0.18439019429683684
63,0.926,0.20316424983739853
64,0.936,0.20325867629051209
65,0.926,0.23444512939453124
66,0.914,0.24050499820709229
67,0.906,0.22634380370378493
68,0.93,0.20776068811118603
69,0.944,0.20537265825271606
70,0.958,0.1483643169403076
71,0.946,0.2047719112634659
72,0.914,0.2582258322834969
73,0.932,0.19442722538113594
74,0.964,0.14269081155955793
75,0.968,0.08768977457284928
76,0.974,0.08580283397436142
77,0.962,0.0994375912155956
78,0.976,0.08290260055661201
79,0.974,0.08156048855185509
80,0.954,0.1598904321109876
81,0.908,0.3246899482011795
82,0.96,0.15179439947009088
83,0.966,0.12584298774600028
84,0.978,0.07951109361648559
85,0.962,0.15953669133782386
86,0.956,0.1563782690167427
87,0.958,0.14297940301895143
88,0.954,0.19411896204948426
89,0.968,0.10713632810115814
90,0.982,0.08920573779940605
91,0.962,0.11304127958416939
92,0.932,0.17632753175497054
93,0.956,0.1474757907986641
94,0.972,0.12887296384572983
95,0.98,0.1008655810058117
96,0.91,0.39606825363636017
97,0.94,0.23893713426589966
98,0.964,0.1373852764517069
99,0.966,0.09658232928812503
100,0.978,0.07104604542255402
101,0.988,0.08321821588277817
102,0.988,0.08546436048299075
103,0.978,0.12185672716796399
104,0.968,0.11900665685534477
105,0.834,0.5308964500427246
106,0.812,0.5806043455600739
107,0.894,0.3669382014274597
108,0.904,0.30108871293067935
109,0.946,0.17743149292469024
110,0.94,0.18715639007091522
111,0.954,0.14736528587341308
112,0.958,0.12265337324142456
113,0.974,0.11082315957546233
114,0.914,0.3254887923002243
115,0.882,0.4104626054763794
116,0.936,0.21261335203051568
117,0.952,0.14945408323407172
118,0.962,0.11776889565587044
119,0.962,0.09444557172060013
120,0.968,0.13908683839440344
121,0.964,0.10175717929005623
122,0.954,0.14305001312494278
123,0.98,0.09746360790729523
124,0.978,0.0805947492197156
125,0.966,0.09683910065889359
126,0.986,0.04702493360638618
127,0.99,0.040197756469249724
128,0.986,0.06836059085279703
129,0.978,0.06664005082845688
130,0.98,0.06146658678725362
131,0.984,0.047629442248493435
132,0.986,0.0409002715870738
133,0.992,0.03099002056568861
134,0.994,0.019125986032187937
135,0.988,0.045779525443911555
136,0.976,0.10792307549715043
137,0.986,0.04908138646185398
138,0.988,0.03735558848828077
139,0.988,0.043783429369330405
140,0.986,0.054615724831819534
141,0.982,0.05385548156499863
142,0.994,0.02206232613325119
143,0.988,0.06204426308348775
144,0.986,0.061236132457852366
145,0.97,0.09738225746154786
146,0.978,0.09076448161154986
147,0.996,0.02791364786028862
148,0.99,0.03741563804238103
149,0.984,0.03619938736781478
150,0.992,0.029877010345458983
151,0.996,0.017607261650497093
152,0.992,0.018780074207112193
153,0.99,0.05714017787948251
154,0.996,0.017681070536375045
155,0.994,0.014645061668474227
156,0.996,0.01076202673627995
157,0.998,0.008340092420810834
158,0.996,0.010559023677837103
159,0.992,0.01805560752947349
160,0.994,0.013830669081769883
161,0.99,0.036212641345337034
162,0.98,0.050874543309211734
163,0.994,0.02252473619580269
164,0.996,0.013016481269150972
165,0.99,0.036984540939331054
166,0.986,0.07230067493580282
167,0.98,0.07464706246554852
168,0.994,0.03094556525722146
169,0.996,0.015590313009917737
170,0.996,0.013892230417579412
171,0.996,0.012609640976414085
172,0.988,0.056791076920926574
173,0.992,0.05143397198617458
174,0.972,0.13015756053477526
175,0.976,0.07547465780377388
176,0.988,0.06683458243310451
177,0.988,0.03671696943789721
178,0.972,0.08077697345614433
179,0.988,0.042360330827534196
180,0.996,0.01704388125240803
